,champion,patch,games,dmgtaken/min,dmgdealt/min,Class,color,season,patchnum,internal
0,Aatrox,8.01,28778,2223.935184,608.1222408,Fighter,#664A40,8,1,1
1,Ahri,8.01,118101,965.9694058,683.4599062,Mage,#25BAA4,8,1,1
2,Aatrox,8.02,47319,2242.5761,622.5628416,Fighter,#664A40,8,2,2
3,Ahri,8.02,158146,984.3097672,701.053895,Mage,#25BAA4,8,2,2
4,Aatrox,8.03,52874,2257.368511,625.2668438,Fighter,#664A40,8,3,3
5,Ahri,8.03,146183,994.0389816,708.8166584,Mage,#25BAA4,8,3,3
