,champName,gameVersion,dmgtaken,totaldamagedealttochampions,t2.gameDuration/60,matchid,taken/min,dealt/min
0,Aatrox,8.1.213.4336,15257197,4163134,6646.200100000001,220,2295.6270907341473,626.3931174747506
1,Aatrox,8.1.214.5847,63659866,17131102,28562.8678,984,2228.763107603642,599.7682767694636
2,Aatrox,8.10.229.7328,114052776,33603521,52768.11660000001,1848,2161.3956182017682,636.8148640726737
3,Aatrox,8.11.231.7304,34049174,10435357,16336.899800000007,581,2084.188212992528,638.759931673205
4,Aatrox,8.11.232.7066,8819735,2675955,4056.0172,145,2174.481656537354,659.7494211809556
5,Aatrox,8.11.232.8721,66997190,20101362,31866.9173,1107,2102.4057447815953,630.7909174509327
6,Aatrox,8.12.233.4186,193433170,59269532,93135.516,3256,2076.900180592761,636.3794881428477
7,Aatrox,8.13.235.3406,69069951,15857493,31290.567100000004,1102,2207.3729370024744,506.7818984974548
8,Aatrox,8.13.235.9749,649896775,162966792,268548.8148999996,9269,2420.0321838769023,606.8423428369418
9,Aatrox,8.14.238.1713,127536859,31882325,54456.63160000002,1883,2341.9894924239115,585.4626711799777
10,Aatrox,8.14.238.9731,51868548,13075939,22635.100899999998,777,2291.5094670507965,577.6841489582227
11,Aatrox,8.14.239.6309,92670472,23601047,40216.8649,1380,2304.268923756909,586.8445255164581
12,Aatrox,8.15.239.9021,190338451,48693555,82902.10290000006,2853,2295.942374701811,587.3621210638792
13,Aatrox,8.16.241.6543,120620031,31563486,54885.71719999999,1873,2197.6579181878674,575.076497315043
14,Aatrox,8.17.243.3340,97439993,26334687,45089.31869999999,1560,2161.0438083643085,584.0559972799058
15,Aatrox,8.18.244.9800,51640781,13871015,23786.784100000004,831,2170.9862410530723,583.1395678241346
16,Aatrox,8.18.245.7444,108460621,29647085,50281.550599999995,1745,2157.0659557185577,589.6215340662148
17,Aatrox,8.19.246.5109,208499693,57408760,96280.0661,3318,2165.5541115171713,596.2683899736127
18,Aatrox,8.2.215.824,19783030,5407646,8815.8838,297,2244.0211836730427,613.3980577194087
19,Aatrox,8.2.216.1199,111860640,31261550,49843.26780000001,1685,2244.247717642622,627.1970394364872
20,Aatrox,8.20.248.3196,38262504,10440411,17345.249300000003,591,2205.9356621642787,601.917609797629
21,Aatrox,8.20.249.1952,229209095,62867364,106639.59809999999,3698,2149.3807092658203,589.5311415281863
22,Aatrox,8.21.250.2733,26220837,7213161,11931.366100000003,420,2197.6391286828416,604.5544943927249
23,Aatrox,8.21.250.9462,104617662,28424205,48309.18380000001,1657,2165.585376749834,588.3809819200462
24,Aatrox,8.21.251.4430,200682018,55438577,93314.818,3223,2150.5911097635103,594.1026107986407
25,Aatrox,8.22.252.2691,253783033,69433053,116692.3984,4096,2174.803470317566,595.0092204120813
26,Aatrox,8.23.254.717,196686071,52685977,89384.5136000001,3147,2200.449083161983,589.43070648426
27,Aatrox,8.24.255.8524,415028370,112704265,190861.37939999992,6706,2174.5015744133316,590.5032508635429
28,Aatrox,8.3.217.1022,139224673,38669696,62124.24899999998,2130,2241.0681053061912,622.4573596052647
29,Aatrox,8.4.218.8787,128565758,35328786,57143.76670000001,1963,2249.8649533370713,618.2439142570557
30,Aatrox,8.5.220.3006,131982918,36213170,58833.716799999995,2038,2243.3210950901544,615.5172912686013
31,Aatrox,8.6.222.2149,147589389,43274631,66582.76800000004,2300,2216.6304200510244,649.9373982169076
32,Aatrox,8.7.223.9264,52095461,15326091,23124.283099999997,789,2252.8465325699117,662.7704276808479
33,Aatrox,8.7.224.5563,78944210,23116372,36356.08379999999,1258,2171.4167684914405,635.8322895052851
34,Aatrox,8.8.225.6906,56719370,16495419,25713.81699999999,893,2205.793484491238,641.5002097899354
35,Aatrox,8.8.226.7254,84829810,24550544,38241.58280000002,1315,2218.2609554539663,641.9855613298513
36,Aatrox,8.9.227.7511,16739101,4833167,7689.617500000001,271,2176.8444269172032,628.5315231869464
37,Aatrox,8.9.228.4283,88144725,25568461,40236.916800000006,1413,2190.643121045497,635.4478184073984
38,Aatrox,9.1.257.7563,253040413,68794080,115740.28450000004,4047,2186.2777864521313,594.3831942110007
39,Aatrox,9.2.260.6714,32402096,8450083,15476.5999,531,2093.618508545924,545.9909188451658
40,Ahri,8.1.213.4336,28553229,20461526,29542.8164,983,966.5032816573304,692.6058004408815
41,Ahri,8.1.214.5847,111796599,78167689,115296.15000000002,3882,969.6472865746166,677.9731066475332
42,Ahri,8.10.229.7328,159221533,109805934,157989.08300000004,5434,1007.8008554553099,695.022288343809
43,Ahri,8.11.231.7304,43504438,31598970,45702.6658,1573,951.9015409381218,691.4032135079525
44,Ahri,8.11.232.7066,12399994,8758833,12956.183600000004,442,957.0714944175379,676.0349552317241
45,Ahri,8.11.232.8721,60523604,43605906,62732.31760000001,2167,964.791455433172,695.1107127596382
46,Ahri,8.12.233.4186,111862143,79980182,115511.01800000005,3949,968.4110220550558,692.4030571698361
47,Ahri,8.13.235.3406,8989261,6631190,9602.717,334,936.1164137191588,690.5535173014053
48,Ahri,8.13.235.9749,138427654,98505842,142237.10190000004,4818,973.2176214987966,692.5467454283106
49,Ahri,8.14.238.1713,67002911,49036815,69272.95030000003,2356,967.2305093089124,707.878252443941
50,Ahri,8.14.238.9731,39997668,29148064,41251.581,1407,969.6032741145121,706.5926515640698
51,Ahri,8.14.239.6309,81379286,59075455,83138.43319999998,2822,978.8407463036002,710.5673360223971
52,Ahri,8.15.239.9021,182292519,132492085,187521.56569999992,6386,972.1149581890468,706.5431888082836
53,Ahri,8.16.241.6543,195730602,142183098,200914.03240000014,6820,974.2007547303593,707.6812719428546
54,Ahri,8.17.243.3340,183615526,135106046,187881.69929999992,6441,977.2933004337591,719.1016820870326
55,Ahri,8.18.244.9800,63603502,46413189,64745.81529999997,2209,982.356955508135,716.8523368644649
56,Ahri,8.18.245.7444,114090854,83033905,116836.69940000007,3992,976.4984340185831,710.683419049066
57,Ahri,8.19.246.5109,219720756,159602505,225795.76660000003,7645,973.0951085067862,706.8445409906103
58,Ahri,8.2.215.824,33050363,23727050,33763.916800000006,1120,978.8663796257191,702.7339316272689
59,Ahri,8.2.216.1199,165958272,118362336,168406.25160000005,5534,985.4638436712283,702.8381362061025
60,Ahri,8.20.248.3196,30830393,21949521,31867.416199999992,1085,967.4581963755194,688.7762993474195
61,Ahri,8.20.249.1952,186877094,132632247,192858.47999999986,6548,968.9856209589547,687.7179940441307
62,Ahri,8.21.250.2733,18655405,13300580,19539.3344,675,954.7615398813176,680.707936499618
63,Ahri,8.21.250.9462,70539552,49931925,71443.0508,2403,987.3535803708987,698.9052740732063
64,Ahri,8.21.251.4430,164532118,115437235,169010.91549999992,5714,973.4999512501906,683.0164469465882
65,Ahri,8.22.252.2691,185202885,129875571,189617.9308000002,6490,976.7160954590472,684.9329620466456
66,Ahri,8.23.254.717,131257766,88296514,126773.35050000007,4348,1035.373487269313,696.4911288670244
67,Ahri,8.24.255.8524,297195215,198458762,287250.62840000005,9855,1034.6198950212633,690.8906104241614
68,Ahri,8.3.217.1022,181601918,128816975,182259.1018000001,5966,996.3942333002319,706.7793801670098
69,Ahri,8.4.218.8787,195140139,140758169,195095.9659999998,6430,1000.2264167778856,721.4816989091416
70,Ahri,8.5.220.3006,193222591,138244163,193787.74980000008,6456,997.0836195756267,713.379267485565
71,Ahri,8.6.222.2149,157566853,112352168,158387.68349999987,5328,994.8175863055674,709.3491458254713
72,Ahri,8.7.223.9264,62311957,44060057,62777.917600000015,2102,992.5776352925727,701.8400527512877
73,Ahri,8.7.224.5563,96394473,68618845,96729.68309999997,3243,996.5345684048874,709.3876750227876
74,Ahri,8.8.225.6906,92951397,65686294,91317.21709999998,3085,1017.8956384337737,719.319927676596
75,Ahri,8.8.226.7254,120562141,85063174,119404.36530000005,4031,1009.6962594046798,712.3958473903464
76,Ahri,8.9.227.7511,28945570,20284888,28560.482099999994,979,1013.4832422874265,710.2431929886787
77,Ahri,8.9.228.4283,142927092,98880459,139323.5807999999,4739,1025.864330928825,709.7180422167277
78,Ahri,9.1.257.7563,142740073,94617809,138391.7338000001,4765,1031.420512487285,683.6955243059462
79,Ahri,9.2.260.6714,28823183,19494984,28366.033900000002,958,1016.1160739499785,687.2650603438783
80,Akali,8.1.213.4336,48459914,17032436,27735.284199999995,953,1747.2297615756902,614.1071379394772
81,Akali,8.1.214.5847,193334803,68820001,109680.31610000013,3786,1762.7119420747163,627.4599075485334
82,Akali,8.10.229.7328,131166677,46387241,74036.01700000005,2577,1771.6603663322394,626.5496562301557
83,Akali,8.11.231.7304,38439888,13936985,21872.000499999995,772,1757.4930102987155,637.2066880667821
84,Akali,8.11.232.7066,11805731,4353829,6685.033700000001,233,1765.9942387425808,651.280037675801
85,Akali,8.11.232.8721,57567903,20510309,32284.684100000006,1126,1783.1335385437453,635.2953287840904
86,Akali,8.12.233.4186,124782502,45006888,71081.96560000001,2519,1755.4734305208913,633.1688723025408
87,Akali,8.13.235.3406,11075836,4040292,6273.2501999999995,218,1765.5657987306167,644.0508303016513
