,Class,champion,color,dmgdealt/min,dmgtaken/min,games,internal,patch,patchnum,season
0,Fighter,Aatrox,#664A40,608.1222408393241,2223.9351843151294,28778.0,1.0,8.01,1.0,8.0
1,Mage,Ahri,#25BAA4,683.4599062487713,965.9694058136838,118101.0,1.0,8.01,1.0,8.0
2,Assassin,Akali,#ED2941,621.9110209460034,1764.6920738437773,113242.0,1.0,8.01,1.0,8.0
3,Tank,Alistar,#393663,282.7683027663905,2329.404140577437,149757.0,1.0,8.01,1.0,8.0
4,Tank,Amumu,#393663,462.4395347879048,2240.4439651405382,58914.0,1.0,8.01,1.0,8.0
5,Mage,Anivia,#25BAA4,669.6256507342325,1619.6734750561,63984.0,1.0,8.01,1.0,8.0
6,Mage,Annie,#25BAA4,663.6470073595926,859.3609281047077,87673.0,1.0,8.01,1.0,8.0
7,Marksman,Ashe,#0D1F22,606.7631285334403,941.1330976879312,102020.0,1.0,8.01,1.0,8.0
8,Mage,Aurelion Sol,#25BAA4,691.4175416376529,1181.0011413369243,17319.0,1.0,8.01,1.0,8.0
9,Specialist,Azir,#EB8596,713.7029456744525,972.2941686364302,72499.0,1.0,8.01,1.0,8.0
10,Support,Bard,#FFB733,452.87497934343503,1158.7989691591144,67462.0,1.0,8.01,1.0,8.0
11,Support,Blitzcrank,#FFB733,322.87712376901106,1716.3584648101316,157747.0,1.0,8.01,1.0,8.0
12,Mage,Brand,#25BAA4,808.0478540316465,898.306345477443,161529.0,1.0,8.01,1.0,8.0
13,Tank,Braum,#393663,237.28766082976531,1791.1122316586532,116592.0,1.0,8.01,1.0,8.0
14,Marksman,Caitlyn,#0D1F22,642.3799334886211,970.3531319747652,125995.0,1.0,8.01,1.0,8.0
15,Fighter,Camille,#664A40,579.8293869229767,1681.3460829860232,64600.0,1.0,8.01,1.0,8.0
16,Mage,Cassiopeia,#25BAA4,666.2088246421292,1197.0461780350843,25145.0,1.0,8.01,1.0,8.0
17,Specialist,Cho'Gath,#EB8596,548.6046138210686,2473.4544549006705,82796.0,1.0,8.01,1.0,8.0
18,Marksman,Corki,#0D1F22,743.1698159733563,1116.1237138481192,25717.0,1.0,8.01,1.0,8.0
19,Fighter,Darius,#664A40,564.8424024927644,2123.4719380044335,110267.0,1.0,8.01,1.0,8.0
20,Fighter,Diana,#664A40,657.857587068255,1531.612448806824,74332.0,1.0,8.01,1.0,8.0
21,Fighter,Dr. Mundo,#664A40,619.4226805848992,2791.722895101534,42827.0,1.0,8.01,1.0,8.0
22,Marksman,Draven,#0D1F22,688.4650248981684,1158.973378059201,177178.0,1.0,8.01,1.0,8.0
23,Assassin,Ekko,#ED2941,642.6356724166236,1597.6208345493517,125432.0,1.0,8.01,1.0,8.0
24,Fighter,Elise,#664A40,521.596831311108,1413.047679613573,25975.0,1.0,8.01,1.0,8.0
25,Assassin,Evelynn,#ED2941,616.2632118565491,1489.7215501506391,109898.0,1.0,8.01,1.0,8.0
26,Marksman,Ezreal,#0D1F22,799.7600903521416,989.0545190273338,310254.0,1.0,8.01,1.0,8.0
27,Specialist,Fiddlesticks,#EB8596,605.4128777993307,1290.8110334528592,39548.0,1.0,8.01,1.0,8.0
28,Assassin,Fiora,#ED2941,612.861478500402,1998.8523241461123,70174.0,1.0,8.01,1.0,8.0
29,Assassin,Fizz,#ED2941,639.7441875686109,1133.4245664401901,108815.0,1.0,8.01,1.0,8.0
30,Tank,Galio,#393663,565.7083714592418,1924.140797299846,52440.0,1.0,8.01,1.0,8.0
31,Specialist,Gangplank,#EB8596,720.2627610278811,1363.5719107183254,139498.0,1.0,8.01,1.0,8.0
32,Fighter,Garen,#664A40,578.987379901483,2284.401389473629,148141.0,1.0,8.01,1.0,8.0
33,Specialist,Gnar,#EB8596,620.8766649949798,1647.5064692923943,83303.0,1.0,8.01,1.0,8.0
34,Tank,Gragas,#393663,457.8579316260527,2195.685063431209,34067.0,1.0,8.01,1.0,8.0
35,Specialist,Graves,#EB8596,601.3139002348814,1537.081067998502,51147.0,1.0,8.01,1.0,8.0
36,Fighter,Hecarim,#664A40,482.9470538601287,2258.4720475170266,42019.0,1.0,8.01,1.0,8.0
37,Specialist,Heimerdinger,#EB8596,810.8738377213174,899.4383648501866,47189.0,1.0,8.01,1.0,8.0
38,Fighter,Illaoi,#664A40,772.4650036516174,2198.4323217690308,120565.0,1.0,8.01,1.0,8.0
39,Fighter,Irelia,#664A40,574.0957785277733,1892.6009707471442,49171.0,1.0,8.01,1.0,8.0
40,Support,Ivern,#FFB733,290.0611332846542,1237.9287428363978,13981.0,1.0,8.01,1.0,8.0
41,Support,Janna,#FFB733,253.28637207161856,986.1583935139662,190560.0,1.0,8.01,1.0,8.0
42,Fighter,Jarvan IV,#664A40,462.48342081623633,1981.4388222288887,144528.0,1.0,8.01,1.0,8.0
43,Assassin,Jax,#ED2941,515.4871778602243,1731.6590990507261,199010.0,1.0,8.01,1.0,8.0
44,Mage,Jayce,#25BAA4,691.8666549112365,1195.5543167017272,56577.0,1.0,8.01,1.0,8.0
45,Marksman,Jhin,#0D1F22,648.7441740700006,885.8340417710313,172944.0,1.0,8.01,1.0,8.0
46,Marksman,Jinx,#0D1F22,635.488095374132,994.2054493600209,196764.0,1.0,8.01,1.0,8.0
3656,Marksman,Kai'Sa,#0D1F22,641.0380278424751,1216.31357907828,0.0,1.0,8.01,1.0,8.0
47,Marksman,Kalista,#0D1F22,613.6020833995046,1159.6794957019097,52898.0,1.0,8.01,1.0,8.0
48,Support,Karma,#FFB733,455.8020422622305,960.0847397671992,73838.0,1.0,8.01,1.0,8.0
49,Mage,Karthus,#25BAA4,920.1389467552674,1173.0964933930493,17256.0,1.0,8.01,1.0,8.0
50,Assassin,Kassadin,#ED2941,640.0308909983253,1398.3741819310576,51776.0,1.0,8.01,1.0,8.0
51,Assassin,Katarina,#ED2941,737.8441434613064,1347.9502189989053,131142.0,1.0,8.01,1.0,8.0
52,Specialist,Kayle,#EB8596,569.9305965385714,1385.224759831253,39915.0,1.0,8.01,1.0,8.0
53,Assassin,Kayn,#ED2941,538.733790483936,2118.19923921318,191162.0,1.0,8.01,1.0,8.0
54,Specialist,Kennen,#EB8596,663.1584732842903,1090.4723232920755,28229.0,1.0,8.01,1.0,8.0
55,Assassin,Kha'Zix,#ED2941,521.4612252636168,1873.44320899868,130749.0,1.0,8.01,1.0,8.0
56,Marksman,Kindred,#0D1F22,606.4436815394538,1569.6513393094701,39822.0,1.0,8.01,1.0,8.0
57,Fighter,Kled,#664A40,603.9644662589208,2214.429725802165,37786.0,1.0,8.01,1.0,8.0
58,Marksman,Kog'Maw,#0D1F22,782.1894372817261,1115.2452998427727,99832.0,1.0,8.01,1.0,8.0
59,Mage,LeBlanc,#25BAA4,638.0564866248288,1102.1135591177444,34576.0,1.0,8.01,1.0,8.0
60,Fighter,Lee Sin,#664A40,429.07229508820444,1993.1347557251152,140777.0,1.0,8.01,1.0,8.0
61,Tank,Leona,#393663,257.4615254467655,1878.2069503117418,217952.0,1.0,8.01,1.0,8.0
62,Mage,Lissandra,#25BAA4,637.4154159094709,1132.7028142035606,25036.0,1.0,8.01,1.0,8.0
63,Marksman,Lucian,#0D1F22,616.4149070291642,1063.6996786331983,117386.0,1.0,8.01,1.0,8.0
64,Support,Lulu,#FFB733,243.61503032962372,819.5912786408342,146861.0,1.0,8.01,1.0,8.0
65,Mage,Lux,#25BAA4,669.8752398118352,754.6834338455337,214327.0,1.0,8.01,1.0,8.0
66,Tank,Malphite,#393663,539.0336474564509,1983.4759668857462,103694.0,1.0,8.01,1.0,8.0
67,Mage,Malzahar,#25BAA4,670.01967737671,872.8714577779481,148186.0,1.0,8.01,1.0,8.0
68,Tank,Maokai,#393663,502.6599226953805,2658.7355463642734,93889.0,1.0,8.01,1.0,8.0
69,Assassin,Master Yi,#ED2941,554.0626619346158,1770.1051975702371,124193.0,1.0,8.01,1.0,8.0
70,Marksman,Miss Fortune,#0D1F22,708.4215399409446,919.9140877324583,204816.0,1.0,8.01,1.0,8.0
71,Fighter,Mordekaiser,#664A40,672.911741575175,1989.978032232394,17992.0,1.0,8.01,1.0,8.0
72,Support,Morgana,#FFB733,487.95771013795377,1049.3372086399704,183389.0,1.0,8.01,1.0,8.0
73,Support,Nami,#FFB733,308.53278694157103,1105.513567867491,164647.0,1.0,8.01,1.0,8.0
74,Fighter,Nasus,#664A40,602.9511861593448,2294.0958862833786,231752.0,1.0,8.01,1.0,8.0
75,Tank,Nautilus,#393663,356.70711237769274,2076.206485458416,75413.0,1.0,8.01,1.0,8.0
3670,Mage,Neeko,#25BAA4,0.0,0.0,0.0,1.0,8.01,1.0,8.0
76,Specialist,Nidalee,#EB8596,560.6778529066446,1775.5891450637582,40007.0,1.0,8.01,1.0,8.0
77,Assassin,Nocturne,#ED2941,507.62089239240754,1832.187820139181,29176.0,1.0,8.01,1.0,8.0
78,Tank,Nunu,#393663,365.59292893777933,2253.1666896707093,14376.0,1.0,8.01,1.0,8.0
79,Fighter,Olaf,#664A40,548.4960877778306,2137.1451435823265,25321.0,1.0,8.01,1.0,8.0
80,Mage,Orianna,#25BAA4,631.7738883986514,907.3409383505405,104805.0,1.0,8.01,1.0,8.0
81,Tank,Ornn,#393663,548.7163823142894,2170.489488199386,108113.0,1.0,8.01,1.0,8.0
82,Fighter,Pantheon,#664A40,608.9669191636272,1308.6627682368546,68047.0,1.0,8.01,1.0,8.0
83,Tank,Poppy,#393663,483.6073585339561,2190.456973456876,38434.0,1.0,8.01,1.0,8.0
3660,Support,Pyke,#FFB733,362.75027519773744,1534.6200534909997,0.0,1.0,8.01,1.0,8.0
84,Specialist,Quinn,#EB8596,639.1740520204742,1093.7627839371335,25899.0,1.0,8.01,1.0,8.0
85,Support,Rakan,#FFB733,223.28213598611038,1438.828691583773,92251.0,1.0,8.01,1.0,8.0
86,Tank,Rammus,#393663,443.07858156313074,2591.3955572769223,90178.0,1.0,8.01,1.0,8.0
87,Fighter,Rek'Sai,#664A40,451.3357826109191,2132.3467341588766,24172.0,1.0,8.01,1.0,8.0
88,Fighter,Renekton,#664A40,563.0380623025302,2089.192320159642,60205.0,1.0,8.01,1.0,8.0
89,Fighter,Rengar,#664A40,539.8940222430024,1786.0093575795293,55254.0,1.0,8.01,1.0,8.0
90,Assassin,Riven,#ED2941,543.3481073475803,1613.2874020091697,124127.0,1.0,8.01,1.0,8.0
91,Mage,Rumble,#25BAA4,739.5521710795888,1427.4091696363193,25324.0,1.0,8.01,1.0,8.0
92,Mage,Ryze,#25BAA4,627.3940958912699,1259.1052440566104,68130.0,1.0,8.01,1.0,8.0
93,Tank,Sejuani,#393663,396.97103467441354,2380.109141122809,126157.0,1.0,8.01,1.0,8.0
94,Assassin,Shaco,#ED2941,481.92932350392846,1412.7087394565692,63255.0,1.0,8.01,1.0,8.0
95,Tank,Shen,#393663,385.02075718627054,2097.3993132327346,117315.0,1.0,8.01,1.0,8.0
96,Fighter,Shyvana,#664A40,540.3487169206685,2265.889079341877,202134.0,1.0,8.01,1.0,8.0
97,Specialist,Singed,#EB8596,662.7295785967806,2037.9162376179916,49846.0,1.0,8.01,1.0,8.0
98,Tank,Sion,#393663,533.1973631387382,2873.66370240204,67088.0,1.0,8.01,1.0,8.0
99,Marksman,Sivir,#0D1F22,638.3525814966306,1024.1504986348432,65198.0,1.0,8.01,1.0,8.0
100,Fighter,Skarner,#664A40,380.41657260135264,2324.685156897277,27049.0,1.0,8.01,1.0,8.0
101,Support,Sona,#FFB733,380.17611577683635,1162.0312912954596,113256.0,1.0,8.01,1.0,8.0
102,Support,Soraka,#FFB733,219.8405853376659,1352.118806703058,116370.0,1.0,8.01,1.0,8.0
103,Mage,Swain,#25BAA4,737.8594750251095,1846.5255340245326,38321.0,1.0,8.01,1.0,8.0
3693,Mage,Sylas,#25BAA4,0.0,0.0,0.0,1.0,8.01,1.0,8.0
104,Mage,Syndra,#25BAA4,665.1918281920675,835.476033338077,44670.0,1.0,8.01,1.0,8.0
105,Support,Tahm Kench,#FFB733,388.49217372143823,2341.7682659965285,86078.0,1.0,8.01,1.0,8.0
106,Mage,Taliyah,#25BAA4,761.1744645655878,947.1659591900341,38108.0,1.0,8.01,1.0,8.0
107,Assassin,Talon,#ED2941,634.6686282669663,1291.8482904639245,54123.0,1.0,8.01,1.0,8.0
108,Support,Taric,#FFB733,208.63972066162205,1967.749729117484,121949.0,1.0,8.01,1.0,8.0
109,Specialist,Teemo,#EB8596,826.1080151167914,1040.9917816532607,130827.0,1.0,8.01,1.0,8.0
110,Support,Thresh,#FFB733,270.60049124886945,1460.041789549667,254869.0,1.0,8.01,1.0,8.0
111,Marksman,Tristana,#0D1F22,628.1563284294978,1076.8428479143515,372469.0,1.0,8.01,1.0,8.0
112,Fighter,Trundle,#664A40,462.56487410387155,2457.239560337649,50683.0,1.0,8.01,1.0,8.0
113,Assassin,Tryndamere,#ED2941,520.1369780712994,3268.827382216839,71813.0,1.0,8.01,1.0,8.0
114,Mage,Twisted Fate,#25BAA4,636.2858351732959,1006.6956029589587,61666.0,1.0,8.01,1.0,8.0
115,Marksman,Twitch,#0D1F22,665.1248677603742,1039.9211617952394,182176.0,1.0,8.01,1.0,8.0
116,Fighter,Udyr,#664A40,425.5231298945661,2249.825184508505,124124.0,1.0,8.01,1.0,8.0
117,Fighter,Urgot,#664A40,615.101507174998,1915.6194032861958,66211.0,1.0,8.01,1.0,8.0
118,Marksman,Varus,#0D1F22,633.1316102946994,1037.0392855932673,122702.0,1.0,8.01,1.0,8.0
119,Marksman,Vayne,#0D1F22,655.9510671028434,1124.3413807864526,326576.0,1.0,8.01,1.0,8.0
120,Mage,Veigar,#25BAA4,684.9418905097957,848.5680087598346,146585.0,1.0,8.01,1.0,8.0
121,Mage,Vel'Koz,#25BAA4,790.4679114780611,785.4817610885134,70316.0,1.0,8.01,1.0,8.0
122,Fighter,Vi,#664A40,474.0313137323765,1875.0026218883004,104563.0,1.0,8.01,1.0,8.0
123,Mage,Viktor,#25BAA4,733.5438052986801,959.3156424141198,26107.0,1.0,8.01,1.0,8.0
124,Mage,Vladimir,#25BAA4,743.0912173611889,2123.881377087285,113860.0,1.0,8.01,1.0,8.0
125,Fighter,Volibear,#664A40,463.2651977038443,2284.5695311796053,32685.0,1.0,8.01,1.0,8.0
126,Fighter,Warwick,#664A40,447.39482897723485,2654.210441204029,243425.0,1.0,8.01,1.0,8.0
127,Fighter,Wukong,#664A40,581.5263811495868,1518.1504105789559,63310.0,1.0,8.01,1.0,8.0
128,Marksman,Xayah,#0D1F22,657.7338618616935,1044.757878852949,197253.0,1.0,8.01,1.0,8.0
129,Mage,Xerath,#25BAA4,807.2247257843309,714.9008918209954,103702.0,1.0,8.01,1.0,8.0
130,Fighter,Xin Zhao,#664A40,521.9298860385916,2122.591814503976,123887.0,1.0,8.01,1.0,8.0
131,Assassin,Yasuo,#ED2941,632.4781464620887,1539.6772201918475,256699.0,1.0,8.01,1.0,8.0
132,Fighter,Yorick,#664A40,645.669984035267,1938.227195173662,71945.0,1.0,8.01,1.0,8.0
133,Tank,Zac,#393663,412.9504759159132,3017.0425050357007,56754.0,1.0,8.01,1.0,8.0
134,Assassin,Zed,#ED2941,666.7618496295688,1187.9136753973685,149355.0,1.0,8.01,1.0,8.0
135,Mage,Ziggs,#25BAA4,808.0756395090445,751.3747835743882,47221.0,1.0,8.01,1.0,8.0
136,Specialist,Zilean,#EB8596,482.98164500176574,1007.7020044027072,38398.0,1.0,8.01,1.0,8.0
137,Mage,Zoe,#25BAA4,717.602227634377,865.0266561217536,102073.0,1.0,8.01,1.0,8.0
138,Support,Zyra,#FFB733,698.0019132597926,731.9783780028584,73515.0,1.0,8.01,1.0,8.0
139,Fighter,Aatrox,#664A40,622.562841577258,2242.576099681384,47319.0,2.0,8.02,2.0,8.0
140,Mage,Ahri,#25BAA4,701.0538950318369,984.309767160383,158146.0,2.0,8.02,2.0,8.0
141,Assassin,Akali,#ED2941,634.3373098615441,1802.6521644578202,145878.0,2.0,8.02,2.0,8.0
142,Tank,Alistar,#393663,280.24247620674674,2303.04962605311,206825.0,2.0,8.02,2.0,8.0
143,Tank,Amumu,#393663,474.25969423830566,2265.4221739354025,75649.0,2.0,8.02,2.0,8.0
144,Mage,Anivia,#25BAA4,678.4275890915524,1660.6940948125862,91422.0,2.0,8.02,2.0,8.0
145,Mage,Annie,#25BAA4,674.4240953153787,880.574235396171,148922.0,2.0,8.02,2.0,8.0
146,Marksman,Ashe,#0D1F22,634.4034898958649,948.1122062885399,145218.0,2.0,8.02,2.0,8.0
147,Mage,Aurelion Sol,#25BAA4,707.3749726788039,1205.6658323275328,31120.0,2.0,8.02,2.0,8.0
148,Specialist,Azir,#EB8596,721.917629360622,985.9488390504762,132111.0,2.0,8.02,2.0,8.0
149,Support,Bard,#FFB733,464.62210689934597,1193.9577282739976,102948.0,2.0,8.02,2.0,8.0
150,Support,Blitzcrank,#FFB733,329.3866799657419,1685.597151127597,215252.0,2.0,8.02,2.0,8.0
151,Mage,Brand,#25BAA4,805.6519102424302,915.9177378910731,230208.0,2.0,8.02,2.0,8.0
152,Tank,Braum,#393663,242.71597169331926,1730.566849027411,194730.0,2.0,8.02,2.0,8.0
153,Marksman,Caitlyn,#0D1F22,678.5764204483938,973.1550203264734,209057.0,2.0,8.02,2.0,8.0
154,Fighter,Camille,#664A40,583.7109470969706,1715.8530298678343,121335.0,2.0,8.02,2.0,8.0
155,Mage,Cassiopeia,#25BAA4,658.735647060121,1223.0288809087306,33768.0,2.0,8.02,2.0,8.0
156,Specialist,Cho'Gath,#EB8596,564.3566008213104,2508.6810182945483,120617.0,2.0,8.02,2.0,8.0
157,Marksman,Corki,#0D1F22,768.0369248674531,1131.3848910430465,39923.0,2.0,8.02,2.0,8.0
158,Fighter,Darius,#664A40,573.8579001266179,2148.1444966001995,156314.0,2.0,8.02,2.0,8.0
159,Fighter,Diana,#664A40,676.697095376853,1566.9005959303154,107670.0,2.0,8.02,2.0,8.0
160,Fighter,Dr. Mundo,#664A40,638.7396808937572,2848.0220724849814,60145.0,2.0,8.02,2.0,8.0
161,Marksman,Draven,#0D1F22,723.1231227396071,1158.0113351437708,224011.0,2.0,8.02,2.0,8.0
162,Assassin,Ekko,#ED2941,651.4823833547355,1683.909817488498,193034.0,2.0,8.02,2.0,8.0
163,Fighter,Elise,#664A40,531.3283658609256,1426.0610491631714,31023.0,2.0,8.02,2.0,8.0
164,Assassin,Evelynn,#ED2941,583.2804012889675,1506.2775065364128,94878.0,2.0,8.02,2.0,8.0
165,Marksman,Ezreal,#0D1F22,785.729581685996,982.060724682736,278369.0,2.0,8.02,2.0,8.0
166,Specialist,Fiddlesticks,#EB8596,608.8058939807738,1312.6393471434121,58378.0,2.0,8.02,2.0,8.0
167,Assassin,Fiora,#ED2941,625.9569570654576,2021.7242536824547,106568.0,2.0,8.02,2.0,8.0
168,Assassin,Fizz,#ED2941,653.6758166781706,1153.282746050185,149196.0,2.0,8.02,2.0,8.0
169,Tank,Galio,#393663,594.3914822419756,1932.0499993291437,103281.0,2.0,8.02,2.0,8.0
170,Specialist,Gangplank,#EB8596,720.416763480383,1405.3227593320705,209431.0,2.0,8.02,2.0,8.0
171,Fighter,Garen,#664A40,595.8498531071293,2339.88751509177,211066.0,2.0,8.02,2.0,8.0
172,Specialist,Gnar,#EB8596,637.6979864253253,1672.9064541828782,146188.0,2.0,8.02,2.0,8.0
173,Tank,Gragas,#393663,469.904883344554,2193.9165114406956,57645.0,2.0,8.02,2.0,8.0
174,Specialist,Graves,#EB8596,622.9826878472195,1557.9283686944723,56204.0,2.0,8.02,2.0,8.0
175,Fighter,Hecarim,#664A40,503.9341104519512,2296.644606246912,55591.0,2.0,8.02,2.0,8.0
176,Specialist,Heimerdinger,#EB8596,824.1195701293611,910.8842201439259,61053.0,2.0,8.02,2.0,8.0
177,Fighter,Illaoi,#664A40,769.4065893388996,2224.7180713781854,132553.0,2.0,8.02,2.0,8.0
178,Fighter,Irelia,#664A40,589.5514727880194,1926.2712285475218,70092.0,2.0,8.02,2.0,8.0
179,Support,Ivern,#FFB733,293.1349718400252,1256.8416528524442,19609.0,2.0,8.02,2.0,8.0
180,Support,Janna,#FFB733,264.56865621478846,987.4273605703506,254995.0,2.0,8.02,2.0,8.0
181,Fighter,Jarvan IV,#664A40,471.5760959965656,2010.5903884570564,191704.0,2.0,8.02,2.0,8.0
182,Assassin,Jax,#ED2941,524.9524122305156,1788.604715470065,298140.0,2.0,8.02,2.0,8.0
183,Mage,Jayce,#25BAA4,709.64902927052,1228.2914976266902,79852.0,2.0,8.02,2.0,8.0
184,Marksman,Jhin,#0D1F22,674.0080701051027,892.6228043808956,187704.0,2.0,8.02,2.0,8.0
185,Marksman,Jinx,#0D1F22,669.7807771949565,1003.3732573793978,409486.0,2.0,8.02,2.0,8.0
3657,Marksman,Kai'Sa,#0D1F22,641.0380278424751,1216.31357907828,0.0,2.0,8.02,2.0,8.0
186,Marksman,Kalista,#0D1F22,617.5069089185686,1148.719680786962,65616.0,2.0,8.02,2.0,8.0
187,Support,Karma,#FFB733,471.7718986569221,981.9519106198262,98049.0,2.0,8.02,2.0,8.0
188,Mage,Karthus,#25BAA4,931.714521275285,1176.362551986148,25274.0,2.0,8.02,2.0,8.0
189,Assassin,Kassadin,#ED2941,643.2992639934882,1429.6029529212428,64440.0,2.0,8.02,2.0,8.0
190,Assassin,Katarina,#ED2941,742.1155141894088,1376.4442278928186,170247.0,2.0,8.02,2.0,8.0
191,Specialist,Kayle,#EB8596,583.6843199010476,1403.4770496886194,56372.0,2.0,8.02,2.0,8.0
192,Assassin,Kayn,#ED2941,561.0020172673528,2165.149759245793,226638.0,2.0,8.02,2.0,8.0
193,Specialist,Kennen,#EB8596,675.5179067142489,1115.4887254382645,40058.0,2.0,8.02,2.0,8.0
194,Assassin,Kha'Zix,#ED2941,538.1908022762461,1889.2085504273737,165467.0,2.0,8.02,2.0,8.0
195,Marksman,Kindred,#0D1F22,634.3809336215977,1590.899957999548,50505.0,2.0,8.02,2.0,8.0
196,Fighter,Kled,#664A40,614.5161600229087,2249.3240193789516,58227.0,2.0,8.02,2.0,8.0
197,Marksman,Kog'Maw,#0D1F22,794.3916847380356,1070.3151642554135,214327.0,2.0,8.02,2.0,8.0
198,Mage,LeBlanc,#25BAA4,647.4141331633723,1130.0851332164116,48895.0,2.0,8.02,2.0,8.0
199,Fighter,Lee Sin,#664A40,442.8159617245682,2007.5961083390498,173725.0,2.0,8.02,2.0,8.0
200,Tank,Leona,#393663,255.048502695937,1831.7959064846464,267022.0,2.0,8.02,2.0,8.0
201,Mage,Lissandra,#25BAA4,649.6223129939374,1153.39028583872,33637.0,2.0,8.02,2.0,8.0
202,Marksman,Lucian,#0D1F22,643.7128346034287,1076.1942624798044,126725.0,2.0,8.02,2.0,8.0
203,Support,Lulu,#FFB733,247.19806314788514,818.3667786698721,232640.0,2.0,8.02,2.0,8.0
204,Mage,Lux,#25BAA4,680.9867555444207,769.9418968991715,300146.0,2.0,8.02,2.0,8.0
205,Tank,Malphite,#393663,545.7901625318705,1994.6691259207253,144779.0,2.0,8.02,2.0,8.0
206,Mage,Malzahar,#25BAA4,651.8101881978998,893.5116934477135,150839.0,2.0,8.02,2.0,8.0
207,Tank,Maokai,#393663,510.2125210747396,2679.495883381618,115066.0,2.0,8.02,2.0,8.0
208,Assassin,Master Yi,#ED2941,578.6804114089774,1798.2066056528088,179613.0,2.0,8.02,2.0,8.0
209,Marksman,Miss Fortune,#0D1F22,730.8847064251411,930.2048694687201,275700.0,2.0,8.02,2.0,8.0
210,Fighter,Mordekaiser,#664A40,683.4298401159949,2018.0680198742252,23709.0,2.0,8.02,2.0,8.0
211,Support,Morgana,#FFB733,505.85821599382234,1092.4567806042276,256006.0,2.0,8.02,2.0,8.0
212,Support,Nami,#FFB733,318.08378936946406,1129.5447011875408,219822.0,2.0,8.02,2.0,8.0
213,Fighter,Nasus,#664A40,602.4092893254198,2307.1263168528476,285713.0,2.0,8.02,2.0,8.0
214,Tank,Nautilus,#393663,362.67730228682075,2060.837355529126,97734.0,2.0,8.02,2.0,8.0
3671,Mage,Neeko,#25BAA4,0.0,0.0,0.0,2.0,8.02,2.0,8.0
215,Specialist,Nidalee,#EB8596,555.5195800937449,1772.1122267669402,56505.0,2.0,8.02,2.0,8.0
216,Assassin,Nocturne,#ED2941,522.0955626700649,1846.327375145065,37589.0,2.0,8.02,2.0,8.0
217,Tank,Nunu,#393663,347.6868089179377,2554.563896568312,148768.0,2.0,8.02,2.0,8.0
218,Fighter,Olaf,#664A40,574.7429958833729,2173.9702932399723,36799.0,2.0,8.02,2.0,8.0
219,Mage,Orianna,#25BAA4,650.0961709563953,915.748971373934,148612.0,2.0,8.02,2.0,8.0
220,Tank,Ornn,#393663,530.7282960639833,2151.632249952948,96398.0,2.0,8.02,2.0,8.0
221,Fighter,Pantheon,#664A40,627.9790656019874,1333.581104846741,118314.0,2.0,8.02,2.0,8.0
222,Tank,Poppy,#393663,497.17676611251267,2207.3510306470407,50435.0,2.0,8.02,2.0,8.0
3661,Support,Pyke,#FFB733,362.75027519773744,1534.6200534909997,0.0,2.0,8.02,2.0,8.0
223,Specialist,Quinn,#EB8596,664.957637937613,1131.4690036672237,33277.0,2.0,8.02,2.0,8.0
224,Support,Rakan,#FFB733,233.3854219817925,1446.9632518987298,106303.0,2.0,8.02,2.0,8.0
225,Tank,Rammus,#393663,461.9853602063148,2652.06521477683,107711.0,2.0,8.02,2.0,8.0
226,Fighter,Rek'Sai,#664A40,461.7951619904328,2148.264836156377,30112.0,2.0,8.02,2.0,8.0
227,Fighter,Renekton,#664A40,579.6725121104157,2133.5431679700505,78587.0,2.0,8.02,2.0,8.0
228,Fighter,Rengar,#664A40,551.84907299034,1798.9168890501583,94860.0,2.0,8.02,2.0,8.0
229,Assassin,Riven,#ED2941,557.1712028169502,1650.1957180666122,184887.0,2.0,8.02,2.0,8.0
230,Mage,Rumble,#25BAA4,753.7243292424123,1449.6241128818178,32714.0,2.0,8.02,2.0,8.0
231,Mage,Ryze,#25BAA4,624.0903453602939,1292.2657585641089,112805.0,2.0,8.02,2.0,8.0
232,Tank,Sejuani,#393663,401.68009352872656,2414.911383707829,203304.0,2.0,8.02,2.0,8.0
233,Assassin,Shaco,#ED2941,499.0822383402193,1421.4689345048173,93806.0,2.0,8.02,2.0,8.0
234,Tank,Shen,#393663,390.36162086531806,2093.916173490194,152560.0,2.0,8.02,2.0,8.0
235,Fighter,Shyvana,#664A40,555.3013106754147,2291.965301048167,246367.0,2.0,8.02,2.0,8.0
236,Specialist,Singed,#EB8596,662.5978787723193,2061.9847318227758,68366.0,2.0,8.02,2.0,8.0
237,Tank,Sion,#393663,540.340420317566,2871.023700598428,101669.0,2.0,8.02,2.0,8.0
238,Marksman,Sivir,#0D1F22,670.1476381864097,996.8121123546632,93963.0,2.0,8.02,2.0,8.0
239,Fighter,Skarner,#664A40,388.90484403388496,2319.684322292361,89401.0,2.0,8.02,2.0,8.0
240,Support,Sona,#FFB733,399.3036733250535,1195.6002742808253,157978.0,2.0,8.02,2.0,8.0
241,Support,Soraka,#FFB733,228.60142428388377,1370.2037984057706,146350.0,2.0,8.02,2.0,8.0
242,Mage,Swain,#25BAA4,739.9775452828235,1869.7844684401261,50905.0,2.0,8.02,2.0,8.0
3694,Mage,Sylas,#25BAA4,0.0,0.0,0.0,2.0,8.02,2.0,8.0
243,Mage,Syndra,#25BAA4,686.6821892274503,854.7443044502609,54248.0,2.0,8.02,2.0,8.0
244,Support,Tahm Kench,#FFB733,380.8358291818983,2302.4668658579326,146957.0,2.0,8.02,2.0,8.0
