,matchid,accountid,win,kills,deaths,assists,totalminionskilled,wardsplaced,totaldamagedealt,magicdamagedealt,physicaldamagedealt,truedamagedealt,damageselfmitigated,damagedealttoobjectives,damagedealttoturrets,totaldamagedealttochampions,magicdamagedealttochampions,physicaldamagedealttochampions,truedamagedealttochampions,totaldamagetaken,physicaldamagetaken,truedamagetaken,totalheal,t2.gameDuration/60,matchRankScore,champName
34,2695191114,211413872,1,1,2,13,145,9,95727,83430,8252,4045,3411,6468,701,12650,12025,624,0,10007,3062,568,808,22.9333,,Xerath
35,2695191114,213444127,0,2,5,6,151,8,83732,69100,8680,5951,6078,2510,286,12187,11186,733,268,11660,6007,830,1166,22.9333,,Lux
36,2695191114,230555591,1,1,2,14,49,22,22482,9722,6803,5955,20606,2753,1360,5959,4408,1144,406,14335,7741,326,2942,22.9333,,Tahm Kench
37,2695191114,231558804,0,2,6,1,173,13,112329,35834,76494,0,23471,6397,6397,11293,3930,7363,0,27499,20317,4042,65,22.9333,,Nasus
38,2695191114,238591480,1,9,3,4,142,7,98579,33487,60711,4380,8805,15865,5031,15207,6898,7702,606,9066,4951,24,3110,22.9333,,Kog'Maw
39,2695191114,243115419,0,5,5,3,149,7,72532,1337,70065,1130,8221,603,603,11321,396,10612,312,13932,7125,1101,2598,22.9333,,Kalista
40,2695191119,126186,1,4,4,12,13,30,89581,15128,68194,6258,14973,11528,903,11308,1628,9474,206,21275,17305,108,6596,22.6333,,Lee Sin
41,2695191119,31777541,1,3,1,14,42,17,23573,16014,7559,0,11428,2765,1956,7117,5562,1554,0,10804,7747,0,2324,22.6333,,Thresh
42,2695191119,39023990,0,1,4,0,112,10,39596,1001,35197,3397,8789,0,0,4504,601,3310,592,15559,11396,240,3104,22.6333,,Irelia
43,2695191119,42424391,1,10,0,3,150,10,103695,27534,69947,6214,15373,10593,8426,14675,5317,9129,228,13567,8955,540,952,22.6333,,Nasus
44,2695191119,44806502,0,4,7,2,121,5,50375,34556,14039,1780,6656,294,294,10317,8307,1799,210,16118,9319,68,142,22.6333,,Fizz
45,2695191119,46835336,0,2,4,4,39,11,19782,15953,3829,0,2700,0,0,8674,7675,999,0,7696,4213,0,162,22.6333,,Teemo
46,2695191119,49680984,0,1,5,2,11,15,94139,4379,82218,7542,9845,0,0,5119,360,4552,206,21088,16082,0,9840,22.6333,,Kha'Zix
47,2695191119,205969515,0,3,6,4,150,8,91111,0,91111,0,6820,0,0,12908,0,12908,0,13392,8710,126,3640,22.6333,,Sivir
48,2695191119,226553179,1,4,5,7,130,7,72142,829,71312,0,4198,4973,4317,11430,492,10938,0,10220,5740,150,2228,22.6333,,Caitlyn
49,2695191119,241346445,1,5,1,6,141,10,70882,62813,8069,0,4775,3952,2633,9423,8790,632,0,5424,2630,210,31,22.6333,,Malzahar
50,2695191125,537364,1,11,6,14,261,21,258682,56959,199099,2623,19111,22560,12229,38966,3705,34595,666,26172,12558,6022,8453,40.5333,,Draven
51,2695191125,35073413,0,8,11,5,186,9,202203,26713,146550,28939,12784,24635,1252,30614,1772,21981,6861,28720,18260,365,6984,40.5333,,Vayne
52,2695191125,38423076,0,5,7,7,142,10,133594,52285,77803,3505,18814,9294,7533,20389,14070,3771,2547,32159,20581,817,12352,40.5333,,Akali
53,2695191125,201826800,0,1,6,13,125,29,137659,124766,6106,6786,10409,3266,744,40946,37148,1856,1941,23642,8731,516,6568,40.5333,,Zilean
54,2695191125,204753468,1,7,7,14,245,15,223760,31070,190128,2559,47225,17207,7275,27863,6769,21093,0,44761,31580,3237,355,40.5333,,Nasus
55,2695191125,207855052,0,4,6,5,226,18,176931,5856,164572,6502,39277,7322,4569,22925,2633,19254,1037,45458,30144,749,13997,40.5333,,Renekton
56,2695191125,212092260,1,11,8,12,219,16,211295,195191,14681,1422,23006,4062,1630,36159,33118,1898,1142,40244,19418,1138,15560,40.5333,,Katarina
57,2695191125,217852035,1,7,5,13,50,11,139825,101997,26064,11764,40155,6086,2426,15356,12989,1278,1088,44727,22765,4528,32248,40.5333,,Zac
58,2695191125,220401933,1,0,3,29,72,18,46097,14598,13210,18288,49494,2382,1170,6682,4699,1983,0,23370,14320,2120,21409,40.5333,,Taric
59,2695191125,236936961,0,11,6,9,60,19,222241,5435,203568,13238,27039,25275,3759,27587,1854,22672,3060,41726,26221,449,17284,40.5333,,Kha'Zix
60,2695191126,81035,1,1,5,11,141,7,89097,77615,11482,0,4916,5633,2538,16665,15858,806,0,13867,5201,96,2257,25.3,,Twisted Fate
61,2695191126,33261409,1,5,2,9,172,5,99772,1065,93477,5229,4278,13523,6516,12893,433,11939,520,9309,6741,300,4207,25.3,,Xayah
62,2695191126,34318765,0,2,4,4,20,6,106236,35903,66773,3559,15810,9533,621,4839,2521,1762,556,29381,20557,240,14418,25.3,,Warwick
63,2695191126,34511391,0,4,3,2,156,6,107651,32517,70445,4689,5725,3000,0,13999,2875,11027,96,12856,6710,388,3410,25.3,,Tristana
64,2695191126,35204177,0,2,6,2,168,11,76484,777,66085,9621,13894,836,836,8323,629,6089,1605,21300,15209,156,4144,25.3,,Irelia
65,2695191126,39054488,0,0,4,3,28,15,9570,5191,3206,1172,4943,117,0,4863,3479,728,655,11703,6610,278,5045,25.3,,Nami
66,2695191126,48252310,1,4,2,12,70,13,34437,14360,10408,9669,22829,6191,3171,10213,7757,2029,426,14118,10725,543,5053,25.3,,Tahm Kench
67,2695191126,209867794,1,12,2,4,30,12,131406,7769,113350,10286,11987,12383,2166,15523,2377,12735,410,20558,12391,765,9172,25.3,,Kayn
68,2695191126,214616973,0,3,7,2,221,3,123548,110260,12586,702,7571,6554,5075,13858,13257,601,0,17816,11216,294,4119,25.3,,Cassiopeia
69,2695191126,217730169,1,2,1,10,151,21,84422,8716,72705,3000,6550,2742,2433,15012,2938,12074,0,12094,6215,1208,1991,25.3,,Jayce
70,2695191127,201471392,0,1,7,11,46,22,31034,13121,9327,8585,41295,597,518,11073,8022,2930,120,20913,16560,1476,2511,31.9667,,Leona
71,2695191127,202084189,1,6,7,8,183,24,139571,1264,136002,2304,11106,17944,7822,10803,408,10179,216,23969,14956,1856,1539,31.9667,,Jinx
72,2695191127,202820726,0,2,4,8,196,14,128424,108471,15245,4707,32923,5144,5144,23258,19594,1645,2018,29682,19547,2501,14559,31.9667,,Swain
73,2695191127,203956241,1,10,4,10,32,11,166084,69046,86992,10046,29740,26862,6232,20265,7387,11715,1162,40073,27678,1810,11114,31.9667,,Shyvana
74,2695191127,208990909,1,8,5,12,206,35,168842,2624,150678,15539,22827,20597,7166,28952,1567,23403,3982,26965,14859,3799,11454,31.9667,,Fiora
75,2695191127,219369526,0,10,5,5,177,13,146228,15129,128890,2208,10680,6277,3618,24087,2032,21166,888,16224,11983,124,2897,31.9667,,Jhin
76,2695191127,220493677,0,9,9,4,66,9,143254,2934,127358,12962,23225,2560,1453,20981,476,16518,3987,32462,23583,1437,9221,31.9667,,Master Yi
77,2695191127,223175717,1,0,4,20,29,11,29412,22878,5625,908,8208,1802,964,6661,4716,1036,908,17274,7801,1101,36987,31.9667,,Soraka
78,2695191127,239714507,1,10,4,15,195,10,140126,22106,117144,876,9603,6476,1981,37662,10321,26464,876,17453,8311,1007,1454,31.9667,,Ezreal
79,2695191127,241270111,0,2,9,3,95,8,64397,42501,13386,8508,19817,0,0,14079,9219,2429,2429,27812,22085,1605,2933,31.9667,,Cho'Gath
80,2695191130,32057610,1,13,8,10,147,14,110141,99734,9908,498,15306,4375,1462,27738,24746,2494,498,28067,15276,1085,7681,28.1,,Katarina
81,2695191130,32186694,0,4,5,2,163,8,99923,52564,26476,20882,42686,1002,1002,11911,8561,1081,2268,32841,20132,2085,6155,28.1,,Cho'Gath
82,2695191130,36306711,0,11,7,3,107,9,174026,7218,154522,12284,22120,28535,6438,20599,1006,17819,1772,35676,23926,1742,14217,28.1,,Nocturne
83,2695191130,37818566,0,6,11,8,141,7,104111,100973,3114,24,13997,539,539,32783,32352,431,0,28267,18176,916,3676,28.1,,Karthus
84,2695191130,43252493,1,15,2,12,203,4,203409,3807,191093,8507,15836,17845,10977,37579,1725,32564,3289,24640,9964,1071,8849,28.1,,Caitlyn
85,2695191130,46067125,1,1,4,23,10,22,12903,8659,4243,0,8877,2050,1923,5755,4436,1318,0,13693,6471,739,5245,28.1,,Janna
